#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A80BCB
#Date Time: 2020-07-08 16:36:58.159

Time (s),Channel 1 (V)
-0.5,1.8645394312052317
-0.499875,1.8609010714768375
-0.49975,1.8648701911805403
-0.499625,1.9382989056990445
-0.4995,1.9654212236743478
-0.499375,1.9624443838965706
-0.49925,0.5362073703659858
-0.499125,0.5408380100203058
-0.499,0.5666372880943749
-0.498875,0.573583247575855
-0.49875,0.5818522469585694
-0.498625,0.5795369271314094
-0.4985,0.5762293273783236
-0.498375,0.5782138872301751
-0.49825,0.5782138872301751
-0.498125,0.571267927748695
-0.498,0.5709371677733863
-0.497875,0.5715986877240035
-0.49775,0.5778831272548665
-0.497625,0.5811907270079523
-0.4975,0.5801984470820265
-0.497375,0.575898567403015
-0.49725,0.571267927748695
-0.497125,0.5742447675264721
-0.497,0.569614127872152
-0.496875,0.5692833678968434
-0.49675,0.569614127872152
-0.496625,0.5742447675264721
-0.4965,0.5778831272548665
-0.496375,0.5682910879709178
-0.49625,0.573583247575855
-0.496125,0.569614127872152
-0.496,0.5686218479462263
-0.495875,0.5706064077980778
-0.49575,0.5709371677733863
-0.495625,0.5792061671561007
-0.4955,0.5765600873536322
-0.495375,0.569614127872152
-0.49525,0.5682910879709178
-0.495125,0.5709371677733863
-0.495,0.5725909676499292
-0.494875,0.6172435643165871
-0.49475,0.6089745649338727
-0.494625,0.6132744446128843
-0.4945,0.5990517656746154
-0.494375,0.61658204436597
-0.49425,0.6136052045881928
-0.494125,0.6198896441190558
-0.494,0.622866483896833
-0.493875,0.6205511640696729
-0.49375,0.6136052045881928
-0.493625,0.61658204436597
-0.4935,0.6159205244153528
-0.493375,0.6109591247857242
-0.49325,0.6152590044647357
-0.493125,0.6129436846375756
-0.493,0.6116206447363414
-0.492875,0.6102976048351071
-0.49275,0.6231972438721416
-0.492625,0.6182358442425129
-0.4925,0.6136052045881928
-0.492375,0.6122821646869585
-0.49225,0.6109591247857242
-0.492125,0.6109591247857242
-0.492,0.6112898847610327
-0.491875,0.6212126840202901
-0.49175,0.6208819240449815
-0.491625,0.6119514047116499
-0.4915,0.6116206447363414
-0.491375,0.6152590044647357
-0.49125,0.6142667245388099
-0.491125,0.6139359645635014
-0.491,0.6096360848844898
-0.490875,0.6205511640696729
-0.49075,0.654950201501765
-0.490625,0.6738035200943538
-0.4905,0.6718189602425024
-0.490375,0.6774418798227482
-0.49025,0.6774418798227482
-0.490125,0.674465040044971
-0.49,0.6695036404153424
-0.489875,0.6784341597486739
-0.48975,0.674465040044971
-0.489625,0.6721497202178109
-0.4895,0.674465040044971
-0.489375,0.6711574402918853
-0.48925,0.6790956796992911
-0.489125,0.6688421204647252
-0.489,0.6774418798227482
-0.488875,0.6754573199708968
-0.48875,0.6777726397980568
-0.488625,0.6804187196005254
-0.4885,0.6820725194770683
-0.488375,0.6833955593783027
-0.48825,0.6757880799462054
-0.488125,0.6731420001437367
-0.488,0.6728112401684281
-0.487875,0.6777726397980568
-0.48775,0.6774418798227482
-0.487625,0.6774418798227482
-0.4875,0.6784341597486739
-0.487375,0.670495920341268
-0.48725,0.670495920341268
-0.487125,0.6701651603659595
-0.487,0.6764495998968225
-0.486875,0.6800879596252168
-0.48675,0.6771111198474397
-0.486625,0.7035719178721258
-0.4865,0.7445861548103894
-0.486375,0.7353248755017492
-0.48625,0.7369786753782921
-0.486125,0.7376401953289092
-0.486,0.7392939952054521
-0.485875,0.7366479154029836
-0.48575,0.7336710756252063
-0.485625,0.7399555151560693
-0.4855,0.7353248755017492
-0.485375,0.7416093150326122
-0.48525,0.732348035723972
-0.485125,0.7330095556745891
-0.485,0.7320172757486635
-0.484875,0.7330095556745891
-0.48475,0.732348035723972
-0.484625,0.7287096759955777
-0.4845,0.7366479154029836
-0.484375,0.736317155427675
-0.48425,0.734663355551132
-0.484125,0.7429323549338465
-0.484,0.7313557557980463
-0.483875,0.7297019559215034
-0.48375,0.7333403156498978
-0.483625,0.7379709553042179
-0.4835,0.7356556354770578
-0.483375,0.7376401953289092
-0.48325,0.7379709553042179
